OrderNumber,QuantityOrdered,PriceEach,OrderLineNumber,Sales,Exact Sales,Status,QTR_ID,DAY_ID,MONTH_ID,YEAR_ID,ProductCode,CustomerName,Phone,AddressLine1,City,PostalCode,Country,Territory,Branch,CostPrice,ProductLine,MSRP,ContactName,Total Profit,Discount,Discount Rate
10100,49,34.47,1,1689.03,1689.03,Shipped,1,6,1,2022,S24_3969,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,NorthA,Skates Road,22.4055,Vintage Cars,41,Valarie Young,591.1605,6.530000000000001,15.926829268292686
10100,50,67.8,2,3390.0,3390.0,Shipped,1,6,1,2022,S18_2248,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,NorthA,Bergenville,44.07,Vintage Cars,60,Valarie Young,1186.4999999999998,-7.799999999999997,-12.999999999999995
10100,30,100.0,3,5151.0,3000.0,Shipped,1,6,1,2022,S18_1749,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,NorthA,Bergenville,65.0,Vintage Cars,170,Valarie Young,1050.0,70.0,41.17647058823529
10100,22,86.51,4,1903.22,1903.22,Shipped,1,6,1,2022,S18_4409,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,62005,USA,NorthA,Skates Road,56.2315,Vintage Cars,92,Valarie Young,666.1270000000002,5.489999999999995,5.96739130434782
10101,26,100.0,1,3773.38,2600.0,Shipped,1,9,1,2022,S18_2795,Blauer See Auto  Co.,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,EMEA,Bergenville,65.0,Vintage Cars,168,Roland Keitel,910.0,68.0,40.476190476190474
10101,46,53.76,2,2472.96,2472.96,Shipped,1,9,1,2022,S24_2022,Blauer See Auto  Co.,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,EMEA,Skates Road,34.944,Vintage Cars,44,Roland Keitel,865.5359999999998,-9.759999999999998,-22.181818181818176
10101,45,31.2,3,1404.0,1404.0,Shipped,1,9,1,2022,S24_1937,Blauer See Auto  Co.,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,EMEA,Skates Road,20.28,Vintage Cars,33,Roland Keitel,491.3999999999999,1.8000000000000007,5.454545454545457
10101,25,100.0,4,3782.0,2500.0,Shipped,1,9,1,2022,S18_2325,Blauer See Auto  Co.,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany,EMEA,Bergenville,65.0,Vintage Cars,127,Roland Keitel,875.0,27.0,21.25984251968504
10102,41,50.14,1,2055.74,2055.7400000000002,Shipped,1,10,1,2022,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,NorthA,Skates Road,32.591,Vintage Cars,53,Michael Frick,719.509,2.8599999999999994,5.396226415094339
10102,39,100.0,2,4808.31,3900.0,Shipped,1,10,1,2022,S18_1342,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,10022,USA,NorthA,Bergenville,65.0,Vintage Cars,102,Michael Frick,1365.0,2.0,1.9607843137254901
10103,36,100.0,1,3680.28,3600.0,Shipped,1,29,1,2022,S24_2300,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Trucks and Buses,127,Jonas Bergulfsen,1260.0,27.0,21.25984251968504
10103,22,54.09,2,1189.98,1189.98,Shipped,1,29,1,2022,S18_2432,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,35.1585,Trucks and Buses,60,Jonas Bergulfsen,416.49300000000017,5.909999999999997,9.849999999999994
10103,31,100.0,3,3224.31,3100.0,Shipped,1,29,1,2022,S32_1268,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Trucks and Buses,96,Jonas Bergulfsen,1085.0,-4.0,-4.166666666666666
10103,42,100.0,4,5398.26,4200.0,Shipped,1,29,1,2022,S10_4962,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Classic Cars,147,Jonas Bergulfsen,1470.0,47.0,31.97278911564626
10103,36,100.0,5,4228.2,3600.0,Shipped,1,29,1,2022,S18_4600,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Trucks and Buses,121,Jonas Bergulfsen,1260.0,21.0,17.355371900826448
10103,42,100.0,6,4460.82,4200.0,Shipped,1,29,1,2022,S700_2824,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Classic Cars,101,Jonas Bergulfsen,1470.0,1.0,0.9900990099009901
10103,45,75.63,7,3403.35,3403.35,Shipped,1,29,1,2022,S32_3522,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,49.1595,Trucks and Buses,64,Jonas Bergulfsen,1191.1724999999997,-11.629999999999995,-18.171874999999993
10103,27,100.0,8,3394.98,2700.0,Shipped,1,29,1,2022,S12_1666,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Trucks and Buses,136,Jonas Bergulfsen,945.0,36.0,26.47058823529412
10103,41,47.29,9,1938.89,1938.8899999999999,Shipped,1,29,1,2022,S18_4668,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,30.7385,Vintage Cars,50,Jonas Bergulfsen,678.6115,2.710000000000001,5.420000000000002
10103,35,100.0,10,3920.0,3500.0,Shipped,1,29,1,2022,S18_1097,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Trucks and Buses,116,Jonas Bergulfsen,1225.0,16.0,13.793103448275861
10103,26,100.0,11,5404.62,2600.0,Shipped,1,29,1,2022,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Bergenville,65.0,Classic Cars,214,Jonas Bergulfsen,910.0,114.0,53.271028037383175
10103,27,83.07,12,2242.89,2242.89,Shipped,1,29,1,2022,S18_2949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,53.9955,Vintage Cars,101,Jonas Bergulfsen,785.0114999999998,17.930000000000007,17.75247524752476
10103,25,100.0,13,2539.5,2500.0,Shipped,1,29,1,2022,S18_3136,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,65.0,Vintage Cars,104,Jonas Bergulfsen,875.0,4.0,3.8461538461538463
10103,35,57.46,14,2011.1,2011.1000000000001,Shipped,1,29,1,2022,S18_2957,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,4110,Norway,EMEA,Skates Road,37.349,Vintage Cars,62,Jonas Bergulfsen,703.8850000000001,4.539999999999999,7.322580645161289
